Rank,Stadium,Seating capacity,Region,Country,City,Home team(s),location
37,Maracanã,78838,South America,Brazil,"Rio de Janeiro, Rio de Janeiro","CR Flamengo, Fluminense FC, Botafogo FR, CR Vasco da Gama","[-22.912161949999998, -43.23118606002972]"
38,Los Angeles Memorial Coliseum,78467,North America,United States,"Los Angeles, California",USC Trojans,"[34.013915850000004, -118.28779962546673]"
39,Azadi Stadium,78116,West Asia,Iran,Tehran,"Iran national football team, Esteghlal FC, Persepolis FC","[35.7244962, 51.27554872157586]"
40,Stadion Utama Gelora Bung Karno,77193,Southeast Asia,Indonesia,Jakarta,"Indonesia national football team,","[-6.21853605, 106.80263531965792]"
41,Caesar's Superdome,76468,North America,United States,"New Orleans, Louisiana","New Orleans Saints, Sugar Bowl",Location not found
42,Arrowhead Stadium,76412,North America,United States,"Kansas City, Missouri",Kansas City Chiefs,"[39.04894045, -94.48499381102714]"
43,Empower Field,76125,North America,United States,Denver,Denver Broncos,"[39.743952, -105.01922281236835]"
44,Atatürk Olimpiyat Stadyumu,76092,Europe,Turkey,Istanbul,No team,"[41.0744732, 28.76566105174166]"
45,Old Trafford,76000,Europe,England,"Manchester, North West England",Manchester United,Location not found
46,Allianz Arena,75024,Europe,Germany,Munich,FC Bayern Munich,"[48.21880845, 11.624663762591622]"
47,Naghsh-e-Jahan Stadium,75000,West Asia,Iran,Isfahan,Sepahan FC,"[32.742455750000005, 51.68618101216669]"
48,Bank of America Stadium,74867,North America,United States,"Charlotte, North Carolina","Charlotte FC, Carolina Panthers","[35.22579505, -80.85385877910787]"
49,Principality Stadium,74500,Europe,Wales,Cardiff,Wales national rugby union team,"[51.478248449999995, -3.1826255901845633]"
50,Olympiastadion,74475,Europe,Germany,Berlin,Hertha BSC,"[52.5145846, 13.239814417756278]"
51,Cairo International Stadium,74100,Africa,Egypt,Cairo,"Egypt national football team, Al Ahly, Zamalek","[30.069115099999998, 31.31220638047715]"
52,FirstEnergy Stadium,73200,North America,United States,Cleveland,Cleveland Browns,"[41.5060559, -81.69971184525946]"
